snpId,GeneID,GeneSymbol,Disease,Rank,Reps,HighHits,Rules,RankOrder,chromosome,position,variant_consequence_type,Severity,Shape,BPfull,SeverityPlot,Label
rs17573175,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45993723,intron variant,Modifier,19,2436820445,2,""
rs17574228,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,46027143,3 prime UTR variant,Modifier,19,2436853865,2,""
rs17576,4318,MMP9,Parkinson Disease,271,7,217.285714285714,12926.4285714286,38.7142857142857,20,46011586,missense variant,Moderate,19,2638053835,3,""
rs17587,5698,PSMB9,Parkinson Disease,8275,8,12.375,366.125,1034.375,6,32857313,missense variant,Moderate,19,1054922578,3,""
rs17649553,4137,MAPT,Alzheimer's Disease,5642,9,50.6666666666667,953.333333333333,626.888888888889,17,45917282,intron variant,Modifier,8,2436744004,2,""
rs17649553,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45917282,intron variant,Modifier,8,2436744004,2,""
rs17649641,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45920006,intron variant,Modifier,19,2436746728,2,""
rs17650901,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45962325,5 prime UTR variant,Modifier,19,2436789047,2,""
rs17651549,4137,MAPT,Parkinson Disease,3388,10,63.6,815,338.8,17,45983912,missense variant,Moderate,19,2436810634,3,""
rs17652121,4137,MAPT,Parkinson Disease,7857,10,63.6,815,785.7,17,45996607,synonymous variant,Low,19,2436823329,1,""
rs17691610,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45893296,intron variant,Modifier,19,2436720018,2,""
rs17763086,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45828115,intron variant,Modifier,19,2436654837,2,""
rs17763086,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45828115,intron variant,Modifier,19,2436654837,2,""
rs17770343,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45892788,intron variant,Modifier,19,2436719510,2,""
rs17817600,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85966428,intron variant,Modifier,19,1831746694,2,""
rs17817648,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85974242,intron variant,Modifier,19,1831754508,2,""
rs17817931,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,86043772,intron variant,Modifier,19,1831824038,2,""
rs17817992,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,86067709,intron variant,Modifier,19,1831847975,2,""
rs1782645,57178,ZMIZ1,Multiple Sclerosis,3022,8,23.75,493.125,377.75,10,79288854,intron variant,Modifier,19,1699022973,2,""
rs1784933,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121618707,intron variant,Modifier,19,1867398973,2,""
rs17852513,65018,PINK1,Parkinson Disease,3193,10,44.3,1178.5,319.3,1,20638079,missense variant,Moderate,19,20638079,3,""
rs1799752,1636,ACE,Alzheimer's Disease,12224.5,10,26.2,362.8,1222.45,17,63488529,intron variant,Modifier,8,2454315251,2,""
rs1799752,1636,ACE,Multiple Sclerosis,3793,8,18.125,353.5,474.125,17,63488529,intron variant,Modifier,8,2454315251,2,""
rs1799782,7515,XRCC1,Alzheimer's Disease,1897.5,10,58.7,952,189.75,19,43553422,missense variant,Moderate,19,2584370450,3,""
rs1799864,729230,CCR2,Alzheimer's Disease,998,10,75.1,1366.6,99.8,3,46357717,missense variant,Moderate,8,527048501,3,""
rs1799864,729230,CCR2,Multiple Sclerosis,913,8,53.5,1197.75,114.125,3,46357717,missense variant,Moderate,8,527048501,3,""
rs1799864,729230,CCR2,Parkinson Disease,1305,10,124,1271,130.5,3,46357717,missense variant,Moderate,8,527048501,3,""
rs1799930,10,NAT2,Parkinson Disease,9336.5,10,35.3,195.3,933.65,8,18400593,missense variant,Moderate,19,1358503857,3,""
rs1799983,4846,NOS3,Alzheimer's Disease,1560,8,32.75,2090.125,195,7,150999023,missense variant,Moderate,19,1335792311,3,""
rs1799986,4035,LRP1,Alzheimer's Disease,891,10,74.6,1879.7,89.1,12,57141483,missense variant,Moderate,19,1925982474,3,""
rs1799990,5621,PRNP,Alzheimer's Disease,2036,6,55,1541.33333333333,339.333333333333,20,4699605,missense variant,Moderate,8,2596741854,3,""
rs1799990,5621,PRNP,Parkinson Disease,2006,9,77.8888888888889,1476.44444444444,222.888888888889,20,4699605,missense variant,Moderate,8,2596741854,3,""
rs1800547,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45974480,non coding transcript exon variant,Modifier,19,2436801202,2,""
rs1800839,5663,PSEN1,Alzheimer's Disease,4991.5,10,45.8,1243.3,499.15,14,73136423,5 prime UTR variant,Modifier,19,2179918496,2,""
rs1800866,10280,SIGMAR1,Alzheimer's Disease,6178,10,51.1,401.5,617.8,9,34637693,missense variant,Moderate,19,1517353780,3,""
rs1800955,1815,DRD4,Parkinson Disease,6107,10,76.2,515.1,610.7,11,636784,upstream gene variant,Modifier,19,1746417050,2,""
rs1801131,4524,MTHFR,Alzheimer's Disease,8746,8,17.5,648.5,1093.25,1,11794419,missense variant,Moderate,8,11794419,3,""
rs1801131,4524,MTHFR,Multiple Sclerosis,2813,8,14.25,589.5,351.625,1,11794419,missense variant,Moderate,8,11794419,3,""
rs1801131,4524,MTHFR,Parkinson Disease,7528,8,24.75,539.25,941,1,11794419,missense variant,Moderate,8,11794419,3,""
rs1801133,4524,MTHFR,Alzheimer's Disease,8746,8,17.5,648.5,1093.25,1,11796321,missense variant,Moderate,8,11796321,3,""
rs1801133,4524,MTHFR,Multiple Sclerosis,2813,8,14.25,589.5,351.625,1,11796321,missense variant,Moderate,8,11796321,3,""
rs1801133,4524,MTHFR,Parkinson Disease,7528,8,24.75,539.25,941,1,11796321,missense variant,Moderate,8,11796321,3,""
rs1801243,540,ATP7B,Alzheimer's Disease,1106,10,72,1232.9,110.6,13,51974004,missense variant,Moderate,19,2045668785,3,""
rs1801249,540,ATP7B,Alzheimer's Disease,1106,10,72,1232.9,110.6,13,51941218,missense variant,Moderate,19,2045635999,3,""
rs1801275,3566,IL4R,Multiple Sclerosis,1163,10,39.4,542.9,116.3,16,27363079,missense variant,Moderate,19,2328269957,3,""
rs1801334,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,161360193,missense variant,Moderate,19,1183425458,3,""
rs1801394,4552,MTRR,Multiple Sclerosis,3349,7,19.4285714285714,183.857142857143,478.428571428572,5,7870860,missense variant,Moderate,8,853309378,3,""
rs1801394,4552,MTRR,Parkinson Disease,9336.5,10,35.3,195.3,933.65,5,7870860,missense variant,Moderate,8,853309378,3,""
rs1801474,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,162201165,missense variant,Moderate,19,1184266430,3,""
rs1801582,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,161386823,missense variant,Moderate,19,1183452088,3,""
rs1805007,4157,MC1R,Parkinson Disease,11695.5,10,10,300.3,1169.55,16,89919709,missense variant,Moderate,19,2390826587,3,""
rs1805008,4157,MC1R,Parkinson Disease,11695.5,10,10,300.3,1169.55,16,89919736,missense variant,Moderate,19,2390826614,3,""
rs1805087,4548,MTR,Alzheimer's Disease,3938,10,45.8,873.1,393.8,1,236885200,missense variant,Moderate,8,236885200,3,""
rs1805087,4548,MTR,Multiple Sclerosis,979,10,35.4,748.9,97.9,1,236885200,missense variant,Moderate,8,236885200,3,""
rs1805087,4548,MTR,Parkinson Disease,5057,10,51.4,732.6,505.7,1,236885200,missense variant,Moderate,8,236885200,3,""
rs180515,6198,RPS6KB1,Multiple Sclerosis,484.5,9,55,1515,53.8333333333333,17,59946914,3 prime UTR variant,Modifier,19,2450773636,2,""
rs1805874,793,CALB1,Parkinson Disease,11087,10,33.7,220.1,1108.7,8,90069834,intron variant,Modifier,19,1430173098,2,""
rs181424343,7042,TGFB2,Alzheimer's Disease,1326,9,68.5555555555556,2367.44444444444,147.333333333333,1,218421142,intron variant,Modifier,19,218421142,2,""
rs181489,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89713869,intron variant,Modifier,19,765978976,2,""
rs182893847,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,161350125,missense variant,Moderate,19,1183415390,3,""
rs183211,4905,NSF,Parkinson Disease,11087,10,33.7,220.1,1108.7,17,46710944,intron variant,Modifier,19,2437537666,2,""
rs1832196,3416,IDE,Alzheimer's Disease,9164.5,9,22.8888888888889,954.777777777778,1018.27777777778,10,92508577,intron variant,Modifier,19,1712242696,2,""
rs183321458,79760,GEMIN7,Alzheimer's Disease,13367,10,32.5,223,1336.7,19,45077818,intron variant,Modifier,19,2585894846,2,""
rs183562580,9381,OTOF,Alzheimer's Disease,10134,9,21.4444444444444,713.777777777778,1126,2,26471784,intron variant,Modifier,19,273890804,2,""
rs183708309,284217,LAMA1,Alzheimer's Disease,11337,8,17.5,648.5,1417.125,18,6974460,intron variant,Modifier,19,2472505944,2,""
rs184277092,55737,VPS35,Parkinson Disease,5274,10,26.4,1038.7,527.4,16,46669007,missense variant,Moderate,19,2347575885,3,""
rs184607650,8890,EIF2B4,Multiple Sclerosis,3284,10,25.8,209.2,328.4,2,27367140,missense variant,Moderate,19,274786160,3,""
rs185968827,667,DST,Alzheimer's Disease,6807,10,45.8,873.1,680.7,6,56843712,intron variant,Modifier,19,1078908977,2,""
rs1859788,29992,PILRA,Alzheimer's Disease,10378,10,13.1,598.7,1037.8,7,100374211,missense variant,Moderate,19,1285167499,3,""
rs186127414,10146,G3BP1,Alzheimer's Disease,3124,10,71.8,1177.2,312.4,5,151801825,intron variant,Modifier,19,997240343,2,""
rs1861525,54205,CYCS,Alzheimer's Disease,1138,9,73.2222222222222,4342.33333333333,126.444444444444,7,25121983,3 prime UTR variant,Modifier,19,1209915271,2,""
rs1864325,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45900461,intron variant,Modifier,19,2436727183,2,""
rs186552003,4436,MSH2,Alzheimer's Disease,1673,10,69.5,1776.6,167.3,2,47443115,intron variant,Modifier,19,294862135,2,""
rs1868402,5534,PPP3R1,Alzheimer's Disease,5784,10,45.8,1058.7,578.4,2,68181905,intron variant,Modifier,19,315600925,2,""
rs187084,54106,TLR9,Parkinson Disease,12651.5,10,10.6,300.3,1265.15,3,52227015,intron variant,Modifier,19,532917799,2,""
rs187116,960,CD44,Alzheimer's Disease,5552,10,35.2,1331.5,555.2,11,35144253,intron variant,Modifier,19,1780924519,2,""
rs1871447,983,CDK1,Alzheimer's Disease,5752,9,45.6666666666667,1176.33333333333,639.111111111111,10,60793572,intron variant,Modifier,19,1680527691,2,""
rs187238,3606,IL18,Alzheimer's Disease,3094.5,9,53,1776.33333333333,343.833333333333,11,112164265,intron variant,Modifier,19,1857944531,2,""
rs1876487,6697,SPR,Parkinson Disease,7281,10,51.4,732.6,728.1,2,72887223,upstream gene variant,Modifier,19,320306243,2,""
rs1876828,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45834159,intron variant,Modifier,19,2436660881,2,""
rs1876828,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45834159,intron variant,Modifier,19,2436660881,2,""
rs1876829,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45834077,intron variant,Modifier,19,2436660799,2,""
rs1876829,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45834077,intron variant,Modifier,19,2436660799,2,""
rs1876830,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45833986,intron variant,Modifier,19,2436660708,2,""
rs1876830,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45833986,intron variant,Modifier,19,2436660708,2,""
rs1880669,7018,TF,Parkinson Disease,4056,10,86.7,926.9,405.6,3,133764852,intron variant,Modifier,19,614455636,2,""
rs188286943,55737,VPS35,Parkinson Disease,5274,10,26.4,1038.7,527.4,16,46662452,missense variant,Moderate,19,2347569330,3,""
rs1887922,3416,IDE,Alzheimer's Disease,9164.5,9,22.8888888888889,954.777777777778,1018.27777777778,10,92464408,intron variant,Modifier,19,1712198527,2,""
rs188911996,221656,KDM1B,Alzheimer's Disease,13842,10,9.2,670.5,1384.2,6,18173684,intron variant,Modifier,19,1040238949,2,""
rs189139,6452,SH3BP2,Multiple Sclerosis,4435,10,25.8,209.2,443.5,4,2831000,intron variant,Modifier,19,679096107,2,""
rs190500289,7018,TF,Alzheimer's Disease,3890,10,72,1048.3,389,3,133712051,intron variant,Modifier,19,614402835,2,""
rs1912151,1394,CRHR1,Parkinson Disease,8482,10,53,691.3,848.2,17,45825578,splice region variant,Low,19,2436652300,1,""
rs1912151,104909134,LINC02210-CRHR1,Parkinson Disease,13682,10,10.6,106.2,1368.2,17,45825578,splice region variant,Low,19,2436652300,1,""
rs191342285,23678,SGK3,Alzheimer's Disease,10754,10,32.5,409.6,1075.4,8,66786417,intron variant,Modifier,19,1406889681,2,""
rs191603973,3638,INSIG1,Alzheimer's Disease,3654,8,42.75,1935.625,456.75,7,155309976,3 prime UTR variant,Modifier,19,1340103264,2,""
rs1927914,7099,TLR4,Parkinson Disease,8005.5,10,33.7,607.3,800.55,9,117702447,upstream gene variant,Modifier,19,1600418534,2,""
rs1937,7019,TFAM,Alzheimer's Disease,2910.5,10,63.8,686.9,291.05,10,58385582,missense variant,Moderate,19,1678119701,3,""
rs1946518,3606,IL18,Alzheimer's Disease,3094.5,9,53,1776.33333333333,343.833333333333,11,112164735,intron variant,Modifier,19,1857945001,2,""
rs1979277,6470,SHMT1,Multiple Sclerosis,979,10,35.4,748.9,97.9,17,18328782,missense variant,Moderate,8,2409155504,3,""
rs1979277,6470,SHMT1,Parkinson Disease,5057,10,51.4,732.6,505.7,17,18328782,missense variant,Moderate,8,2409155504,3,""
rs1981997,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45979401,non coding transcript exon variant,Modifier,19,2436806123,2,""
rs1991556,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,46006036,intron variant,Modifier,19,2436832758,2,""
rs199347,10457,GPNMB,Parkinson Disease,7646,9,30.3333333333333,854.666666666667,849.555555555556,7,23254127,intron variant,Modifier,19,1208047415,2,""
rs199498,7473,WNT3,Parkinson Disease,9265,10,33.1,414.2,926.5,17,46788237,intron variant,Modifier,19,2437614959,2,""
rs199515,7473,WNT3,Parkinson Disease,9265,10,33.1,414.2,926.5,17,46779275,intron variant,Modifier,19,2437605997,2,""
rs199533,4905,NSF,Parkinson Disease,12579.5,10,33.7,220.1,1257.95,17,46751565,synonymous variant,Low,19,2437578287,1,""
rs199609750,1203,CLN5,Alzheimer's Disease,10564.5,10,32.5,223,1056.45,13,77000704,missense variant,Moderate,19,2070695485,3,""
rs199657839,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,161548937,missense variant,Moderate,19,1183614202,3,""
rs199698194,10194,TSHZ1,Alzheimer's Disease,806,10,45.8,1058.7,80.6,18,75285544,start lost,High,19,2540817028,4,""
rs200063703,2882,GPX7,Parkinson Disease,7170,10,33.7,414.2,717,1,52606705,missense variant,Moderate,19,52606705,3,""
rs200538373,10347,ABCA7,Alzheimer's Disease,12508,10,28.4,606.1,1250.8,19,1061893,splice region variant,Low,19,2541878921,1,""
rs200576075,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73171031,missense variant,Moderate,19,2179953104,3,""
rs200660418,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40310449,missense variant,Moderate,19,1909151440,3,""
rs2007153,1621,DBH,Alzheimer's Disease,13141,8,10.125,294.5,1642.625,9,133638697,intron variant,Modifier,8,1616354784,2,""
rs2007153,1621,DBH,Parkinson Disease,12778,10,10,300.3,1277.8,9,133638697,intron variant,Modifier,8,1616354784,2,""
rs200890679,4524,MTHFR,Multiple Sclerosis,2813,8,14.25,589.5,351.625,1,11795191,missense variant,Moderate,19,11795191,3,""
rs2010795,8566,PDXK,Parkinson Disease,7526,6,30,227.5,1254.33333333333,21,43752747,intron variant,Modifier,19,2699537626,2,""
rs2010963,7422,VEGFA,Parkinson Disease,1159,10,112.3,3047.1,115.9,6,43770613,5 prime UTR variant,Modifier,19,1065835878,2,""
rs201106962,6622,SNCA,Parkinson Disease,942,10,77.9,3029.6,94.2,4,89828156,missense variant,Moderate,19,766093263,3,""
rs201269325,351,APP,Parkinson Disease,1614,6,65.5,2266.83333333333,269,21,25891808,missense variant,Moderate,19,2681676687,3,""
rs2015,22933,SIRT2,Parkinson Disease,3508,10,74.1,1438.4,350.8,19,38878729,3 prime UTR variant,Modifier,19,2579695757,2,""
rs201745983,217,ALDH2,Parkinson Disease,816,10,89,3071.3,81.6,12,111783219,missense variant,Moderate,19,1980624210,3,""
rs203709,5817,PVR,Alzheimer's Disease,13141,8,10.125,294.5,1642.625,19,44658298,intron variant,Modifier,19,2585475326,2,""
rs2041670,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11080795,intron variant,Modifier,19,2311987673,2,""
rs2066808,6773,STAT2,Multiple Sclerosis,3296.5,8,14.25,784,412.0625,12,56344189,intron variant,Modifier,19,1925185180,2,""
rs2066842,64127,NOD2,Parkinson Disease,9015,10,33.7,220.1,901.5,16,50710713,missense variant,Moderate,19,2351617591,3,""
rs2067477,1128,CHRM1,Alzheimer's Disease,8889,10,60.4,753.2,888.9,11,62910834,synonymous variant,Low,19,1808691100,1,""
rs2068143,83464,APH1B,Parkinson Disease,11317.5,10,35.3,195.3,1131.75,15,63296463,intron variant,Modifier,19,2274874567,2,""
rs2069442,1020,CDK5,Alzheimer's Disease,3778,10,61.3,1233.6,377.8,7,151058118,intron variant,Modifier,19,1335851406,2,""
rs2070045,6653,SORL1,Alzheimer's Disease,6307,10,77.1,1152.4,630.7,11,121577381,synonymous variant,Low,19,1867357647,1,""
rs2070424,6647,SOD1,Alzheimer's Disease,1416,9,80.6666666666667,2315.88888888889,157.333333333333,21,31667007,non coding transcript exon variant,Modifier,8,2687451886,2,""
rs2070424,6647,SOD1,Parkinson Disease,2106,10,102.4,2127.6,210.6,21,31667007,non coding transcript exon variant,Modifier,8,2687451886,2,""
rs2070600,177,AGER,Alzheimer's Disease,13574,8,10.125,107.75,1696.75,6,32183666,missense variant,Moderate,8,1054248931,3,""
rs2070600,177,AGER,Parkinson Disease,12966,10,10.6,106.2,1296.6,6,32183666,missense variant,Moderate,8,1054248931,3,""
rs2071046,4669,NAGLU,Parkinson Disease,11087,10,33.7,220.1,1108.7,17,42537595,intron variant,Modifier,19,2433364317,2,""
rs2071421,410,ARSA,Alzheimer's Disease,10378,10,13.1,598.7,1037.8,22,50625988,missense variant,Moderate,19,2751948747,3,""
rs2071430,4599,MX1,Multiple Sclerosis,2354,6,13.5,1065.83333333333,392.333333333333,21,41426138,5 prime UTR variant,Modifier,19,2697211017,2,""
rs2071746,3162,HMOX1,Alzheimer's Disease,1167,10,101.9,3426.3,116.7,22,35380679,intron variant,Modifier,8,2736703438,2,""
rs2071746,3162,HMOX1,Parkinson Disease,666,10,185.8,3235.8,66.6,22,35380679,intron variant,Modifier,8,2736703438,2,""
rs2071747,3162,HMOX1,Parkinson Disease,452,10,185.8,3235.8,45.2,22,35381192,missense variant,Moderate,19,2736703951,3,""
rs2073475,1583,CYP11A1,Alzheimer's Disease,6398.5,7,24.1428571428571,1561.85714285714,914.071428571429,15,74369553,non coding transcript exon variant,Modifier,19,2285947657,2,""
rs2074404,7473,WNT3,Parkinson Disease,9265,10,33.1,414.2,926.5,17,46788073,intron variant,Modifier,19,2437614795,2,""
rs2080272,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11117696,intron variant,Modifier,19,2312024574,2,""
rs2147363,540,ATP7B,Alzheimer's Disease,3116,10,72,1232.9,311.6,13,51968660,intron variant,Modifier,19,2045663441,2,""
rs2165241,4016,LOXL1,Alzheimer's Disease,6938,9,28.5555555555556,1439.66666666667,770.888888888889,15,73929861,intron variant,Modifier,19,2285507965,2,""
rs2197120,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89808451,intron variant,Modifier,19,766073558,2,""
rs2227956,3305,HSPA1L,Multiple Sclerosis,509,8,37.125,1266.625,63.625,6,31810495,missense variant,Moderate,19,1053875760,3,""
rs2228479,4157,MC1R,Alzheimer's Disease,11665.5,8,10.125,294.5,1458.1875,16,89919532,missense variant,Moderate,19,2390826410,3,""
rs2230199,718,C3,Multiple Sclerosis,1223,6,25.5,1094.83333333333,203.833333333333,19,6718376,missense variant,Moderate,19,2547535404,3,""
rs2230345,2869,GRK5,Alzheimer's Disease,5488,10,58.7,398.2,548.8,10,119326585,missense variant,Moderate,19,1739060704,3,""
rs2230806,19,ABCA1,Parkinson Disease,2275,6,45,1959.5,379.166666666667,9,104858586,missense variant,Moderate,19,1587574673,3,""
rs2233083,5598,MAPK7,Alzheimer's Disease,10458,10,39.5,827.3,1045.8,17,19383150,synonymous variant,Low,19,2410209872,1,""
rs2233678,5300,PIN1,Alzheimer's Disease,5921,10,50.7,923.8,592.1,19,9834503,non coding transcript exon variant,Modifier,19,2550651531,2,""
rs2233679,5300,PIN1,Alzheimer's Disease,9027,10,50.7,923.8,902.7,19,9834678,splice region variant,Low,19,2550651706,1,""
rs2236225,4522,MTHFD1,Alzheimer's Disease,1610,9,57.2222222222222,1177.77777777778,178.888888888889,14,64442127,missense variant,Moderate,8,2171224200,3,""
rs2236225,4522,MTHFD1,Parkinson Disease,3066,10,61.4,1029.9,306.6,14,64442127,missense variant,Moderate,8,2171224200,3,""
rs2240158,116444,GRIN3B,Alzheimer's Disease,13574,8,10.125,107.75,1696.75,19,1005231,missense variant,Moderate,19,2541822259,3,""
rs2241703,22933,SIRT2,Parkinson Disease,3508,10,74.1,1438.4,350.8,19,38878874,3 prime UTR variant,Modifier,19,2579695902,2,""
rs2246900,5428,POLG,Parkinson Disease,9912.5,10,17.1,694.8,991.25,15,89319135,intron variant,Modifier,19,2300897239,2,""
rs2247071,6646,SOAT1,Alzheimer's Disease,13367,10,32.5,223,1336.7,1,179300309,intron variant,Modifier,19,179300309,2,""
rs2248137,1591,CYP24A1,Multiple Sclerosis,62,6,200.166666666667,6099,10.3333333333333,20,54173204,intron variant,Modifier,19,2646215453,2,rs2248137
rs2248359,1591,CYP24A1,Multiple Sclerosis,62,6,200.166666666667,6099,10.3333333333333,20,54174979,upstream gene variant,Modifier,19,2646217228,2,rs2248359
rs225014,1734,DIO2,Alzheimer's Disease,249,8,86.5,4861,31.125,14,80203237,missense variant,Moderate,19,2186985310,3,""
rs2251101,3416,IDE,Alzheimer's Disease,9164.5,9,22.8888888888889,954.777777777778,1018.27777777778,10,92451547,downstream gene variant,Modifier,19,1712185666,2,""
rs2254958,5610,EIF2AK2,Alzheimer's Disease,13271,10,13.1,598.7,1327.1,2,37149148,5 prime UTR variant,Modifier,19,284568168,2,""
rs2255929,4843,NOS2,Parkinson Disease,1766,10,96.9,2400.1,176.6,17,27760941,intron variant,Modifier,19,2418587663,2,""
rs2256814,56731,SLC2A4RG,Multiple Sclerosis,956,9,55.4444444444444,1547.77777777778,106.222222222222,20,63742630,non coding transcript exon variant,Modifier,19,2655784879,2,""
rs2269461,2053,EPHX2,Alzheimer's Disease,7394.5,10,31.9,1053.6,739.45,8,27541103,intron variant,Modifier,19,1367644367,2,""
rs2270363,3163,HMOX2,Parkinson Disease,4611.5,10,78.3,764.2,461.15,16,4476291,5 prime UTR variant,Modifier,19,2305383169,2,""
rs2270968,56922,MCCC1,Parkinson Disease,7235,10,33.1,414.2,723.5,3,183037421,missense variant,Moderate,19,663728205,3,""
rs2279357,1583,CYP11A1,Alzheimer's Disease,6398.5,7,24.1428571428571,1561.85714285714,914.071428571429,15,74338282,intron variant,Modifier,19,2285916386,2,""
rs2279590,1191,CLU,Alzheimer's Disease,3890,10,72,1048.3,389,8,27598736,non coding transcript exon variant,Modifier,19,1367702000,2,""
rs2280104,55909,BIN3,Parkinson Disease,11087,10,33.7,220.1,1108.7,8,22668467,intron variant,Modifier,19,1362771731,2,""
rs2281983,5309,PITX3,Parkinson Disease,6633.5,10,28.3,605.9,663.35,10,102231624,missense variant,Moderate,19,1721965743,3,""
rs2282649,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121608249,non coding transcript exon variant,Modifier,19,1867388515,2,""
rs2283123,1621,DBH,Alzheimer's Disease,13141,8,10.125,294.5,1642.625,9,133650175,intron variant,Modifier,8,1616366262,2,""
rs2283123,1621,DBH,Parkinson Disease,12778,10,10,300.3,1277.8,9,133650175,intron variant,Modifier,8,1616366262,2,""
rs2283265,1813,DRD2,Parkinson Disease,5718.5,10,46.7,965.3,571.85,11,113414814,intron variant,Modifier,19,1859195080,2,""
rs2283792,5594,MAPK1,Multiple Sclerosis,41,8,169,6878.5,5.125,22,21776836,intron variant,Modifier,19,2723099595,2,rs2283792
rs2284063,8398,PLA2G6,Parkinson Disease,11317.5,10,35.3,195.3,1131.75,22,38148291,non coding transcript exon variant,Modifier,19,2739471050,2,""
rs228614,4126,MANBA,Multiple Sclerosis,3813,8,23.75,301.5,476.625,4,102657480,intron variant,Modifier,19,778922587,2,""
rs2288904,57153,SLC44A2,Multiple Sclerosis,1572,6,17.5,1375.33333333333,262,19,10631494,missense variant,Moderate,19,2551448522,3,""
rs2292239,2065,ERBB3,Multiple Sclerosis,2061.5,10,35.4,748.9,206.15,12,56088396,intron variant,Modifier,19,1924929387,2,""
rs2293479,9179,AP4M1,Alzheimer's Disease,6605,10,45.6,820.7,660.5,7,100106335,intron variant,Modifier,19,1284899623,2,""
rs2297235,119391,GSTO2,Parkinson Disease,11087,10,33.7,220.1,1108.7,10,104274733,5 prime UTR variant,Modifier,19,1724008852,2,""
rs2298728,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89821664,intron variant,Modifier,19,766086771,2,""
rs2298813,6653,SORL1,Alzheimer's Disease,1450,10,77.1,1152.4,145,11,121522975,missense variant,Moderate,19,1867303241,3,""
rs2300603,10538,BATF,Multiple Sclerosis,4435,10,25.8,209.2,443.5,14,75539214,intron variant,Modifier,19,2182321287,2,""
rs2300747,965,CD58,Multiple Sclerosis,756,7,45.1428571428572,1747.28571428571,108,1,116561593,intron variant,Modifier,19,116561593,2,""
rs2301134,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89837794,intron variant,Modifier,19,766102901,2,""
rs2301135,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89837238,5 prime UTR variant,Modifier,19,766102345,2,""
rs2305421,102,ADAM10,Alzheimer's Disease,13988,8,10.125,107.75,1748.5,15,58610884,non coding transcript exon variant,Modifier,19,2270188988,2,""
rs2306604,7019,TFAM,Alzheimer's Disease,5908,10,63.8,686.9,590.8,10,58388932,intron variant,Modifier,8,1678123051,2,""
rs2306604,7019,TFAM,Parkinson Disease,4787,10,79,711.7,478.7,10,58388932,intron variant,Modifier,8,1678123051,2,""
rs2307439,5428,POLG,Parkinson Disease,9912.5,10,17.1,694.8,991.25,15,89323966,intron variant,Modifier,19,2300902070,2,""
rs2316765,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45835088,3 prime UTR variant,Modifier,19,2436661810,2,""
rs2316765,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45835088,3 prime UTR variant,Modifier,19,2436661810,2,""
